[06/Apr/2014:03:29:34] HTTP_HOST localhost HTTP_USER_AGENT Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:28.0) Gecko/20100101 Firefox/28.0 HTTP_ACCEPT text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8 HTTP_ACCEPT_LANGUAGE en-US,en;q=0.5 HTTP_ACCEPT_ENCODING gzip, deflate HTTP_DNT 1 HTTP_CONNECTION keep-alive HTTP_CACHE_CONTROL max-age=0 PATH /usr/local/bin:/usr/bin:/bin SERVER_SIGNATURE <address>Apache/2.4.6 (Ubuntu) Server at localhost Port 80</address>
 SERVER_SOFTWARE Apache/2.4.6 (Ubuntu) SERVER_NAME localhost SERVER_ADDR 127.0.0.1 SERVER_PORT 80 REMOTE_ADDR 127.0.0.1 DOCUMENT_ROOT /var/www REQUEST_SCHEME http CONTEXT_PREFIX  CONTEXT_DOCUMENT_ROOT /var/www SERVER_ADMIN [no address given] SCRIPT_FILENAME /var/www/index.php REMOTE_PORT 45060 GATEWAY_INTERFACE CGI/1.1 SERVER_PROTOCOL HTTP/1.1 REQUEST_METHOD GET QUERY_STRING  REQUEST_URI /index.php SCRIPT_NAME /index.php PHP_SELF /index.php REQUEST_TIME_FLOAT 1396754974.574 REQUEST_TIME 1396754974[06/Apr/2014:03:30:28] HTTP_HOST localhost HTTP_USER_AGENT Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:28.0) Gecko/20100101 Firefox/28.0 HTTP_ACCEPT text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8 HTTP_ACCEPT_LANGUAGE en-US,en;q=0.5 HTTP_ACCEPT_ENCODING gzip, deflate HTTP_DNT 1 HTTP_CONNECTION keep-alive HTTP_CACHE_CONTROL max-age=0 PATH /usr/local/bin:/usr/bin:/bin SERVER_SIGNATURE <address>Apache/2.4.6 (Ubuntu) Server at localhost Port 80</address>
 SERVER_SOFTWARE Apache/2.4.6 (Ubuntu) SERVER_NAME localhost SERVER_ADDR 127.0.0.1 SERVER_PORT 80 REMOTE_ADDR 127.0.0.1 DOCUMENT_ROOT /var/www REQUEST_SCHEME http CONTEXT_PREFIX  CONTEXT_DOCUMENT_ROOT /var/www SERVER_ADMIN [no address given] SCRIPT_FILENAME /var/www/index.php REMOTE_PORT 45068 GATEWAY_INTERFACE CGI/1.1 SERVER_PROTOCOL HTTP/1.1 REQUEST_METHOD GET QUERY_STRING  REQUEST_URI /index.php SCRIPT_NAME /index.php PHP_SELF /index.php REQUEST_TIME_FLOAT 1396755028.935 REQUEST_TIME 1396755028[06/Apr/2014:03:30:29] HTTP_HOST localhost HTTP_USER_AGENT Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:28.0) Gecko/20100101 Firefox/28.0 HTTP_ACCEPT text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8 HTTP_ACCEPT_LANGUAGE en-US,en;q=0.5 HTTP_ACCEPT_ENCODING gzip, deflate HTTP_DNT 1 HTTP_CONNECTION keep-alive HTTP_CACHE_CONTROL max-age=0 PATH /usr/local/bin:/usr/bin:/bin SERVER_SIGNATURE <address>Apache/2.4.6 (Ubuntu) Server at localhost Port 80</address>
 SERVER_SOFTWARE Apache/2.4.6 (Ubuntu) SERVER_NAME localhost SERVER_ADDR 127.0.0.1 SERVER_PORT 80 REMOTE_ADDR 127.0.0.1 DOCUMENT_ROOT /var/www REQUEST_SCHEME http CONTEXT_PREFIX  CONTEXT_DOCUMENT_ROOT /var/www SERVER_ADMIN [no address given] SCRIPT_FILENAME /var/www/index.php REMOTE_PORT 45068 GATEWAY_INTERFACE CGI/1.1 SERVER_PROTOCOL HTTP/1.1 REQUEST_METHOD GET QUERY_STRING  REQUEST_URI /index.php SCRIPT_NAME /index.php PHP_SELF /index.php REQUEST_TIME_FLOAT 1396755029.391 REQUEST_TIME 1396755029[06/Apr/2014:03:30:29] HTTP_HOST localhost HTTP_USER_AGENT Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:28.0) Gecko/20100101 Firefox/28.0 HTTP_ACCEPT text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8 HTTP_ACCEPT_LANGUAGE en-US,en;q=0.5 HTTP_ACCEPT_ENCODING gzip, deflate HTTP_DNT 1 HTTP_CONNECTION keep-alive HTTP_CACHE_CONTROL max-age=0 PATH /usr/local/bin:/usr/bin:/bin SERVER_SIGNATURE <address>Apache/2.4.6 (Ubuntu) Server at localhost Port 80</address>
 SERVER_SOFTWARE Apache/2.4.6 (Ubuntu) SERVER_NAME localhost SERVER_ADDR 127.0.0.1 SERVER_PORT 80 REMOTE_ADDR 127.0.0.1 DOCUMENT_ROOT /var/www REQUEST_SCHEME http CONTEXT_PREFIX  CONTEXT_DOCUMENT_ROOT /var/www SERVER_ADMIN [no address given] SCRIPT_FILENAME /var/www/index.php REMOTE_PORT 45068 GATEWAY_INTERFACE CGI/1.1 SERVER_PROTOCOL HTTP/1.1 REQUEST_METHOD GET QUERY_STRING  REQUEST_URI /index.php SCRIPT_NAME /index.php PHP_SELF /index.php REQUEST_TIME_FLOAT 1396755029.816 REQUEST_TIME 1396755029[06/Apr/2014:03:39:06] localhost Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:28.0) Gecko/20100101 Firefox/28.0 text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8 en-US,en;q=0.5 gzip, deflate 1 keep-alive max-age=0 /usr/local/bin:/usr/bin:/bin <address>Apache/2.4.6 (Ubuntu) Server at localhost Port 80</address>
 Apache/2.4.6 (Ubuntu) localhost 127.0.0.1 80 127.0.0.1 /var/www http  /var/www [no address given] /var/www/index.php 45083 CGI/1.1 HTTP/1.1 GET  /index.php /index.php /index.php 1396755546.229 1396755546[06/Apr/2014:03:39:07] localhost Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:28.0) Gecko/20100101 Firefox/28.0 text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8 en-US,en;q=0.5 gzip, deflate 1 keep-alive max-age=0 /usr/local/bin:/usr/bin:/bin <address>Apache/2.4.6 (Ubuntu) Server at localhost Port 80</address>
 Apache/2.4.6 (Ubuntu) localhost 127.0.0.1 80 127.0.0.1 /var/www http  /var/www [no address given] /var/www/index.php 45083 CGI/1.1 HTTP/1.1 GET  /index.php /index.php /index.php 1396755547.736 1396755547[06/Apr/2014:03:39:08] localhost Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:28.0) Gecko/20100101 Firefox/28.0 text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8 en-US,en;q=0.5 gzip, deflate 1 keep-alive max-age=0 /usr/local/bin:/usr/bin:/bin <address>Apache/2.4.6 (Ubuntu) Server at localhost Port 80</address>
 Apache/2.4.6 (Ubuntu) localhost 127.0.0.1 80 127.0.0.1 /var/www http  /var/www [no address given] /var/www/index.php 45083 CGI/1.1 HTTP/1.1 GET  /index.php /index.php /index.php 1396755548.569 1396755548[06/Apr/2014:03:40:06] localhost Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:28.0) Gecko/20100101 Firefox/28.0 text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8 en-US,en;q=0.5 gzip, deflate 1 keep-alive max-age=0 /usr/local/bin:/usr/bin:/bin <address>Apache/2.4.6 (Ubuntu) Server at localhost Port 80</address>
 Apache/2.4.6 (Ubuntu) localhost 127.0.0.1 80 127.0.0.1 /var/www http  /var/www [no address given] /var/www/index.php 45091 CGI/1.1 HTTP/1.1 GET  /index.php /index.php /index.php 1396755606.535 1396755606[06/Apr/2014:03:40:07] localhost Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:28.0) Gecko/20100101 Firefox/28.0 text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8 en-US,en;q=0.5 gzip, deflate 1 keep-alive max-age=0 /usr/local/bin:/usr/bin:/bin <address>Apache/2.4.6 (Ubuntu) Server at localhost Port 80</address>
 Apache/2.4.6 (Ubuntu) localhost 127.0.0.1 80 127.0.0.1 /var/www http  /var/www [no address given] /var/www/index.php 45091 CGI/1.1 HTTP/1.1 GET  /index.php /index.php /index.php 1396755607.815 1396755607[06/Apr/2014:03:40:08] localhost Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:28.0) Gecko/20100101 Firefox/28.0 text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8 en-US,en;q=0.5 gzip, deflate 1 keep-alive max-age=0 /usr/local/bin:/usr/bin:/bin <address>Apache/2.4.6 (Ubuntu) Server at localhost Port 80</address>
 Apache/2.4.6 (Ubuntu) localhost 127.0.0.1 80 127.0.0.1 /var/www http  /var/www [no address given] /var/www/index.php 45091 CGI/1.1 HTTP/1.1 GET  /index.php /index.php /index.php 1396755608.549 1396755608[06/Apr/2014:03:40:09] localhost Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:28.0) Gecko/20100101 Firefox/28.0 text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8 en-US,en;q=0.5 gzip, deflate 1 keep-alive max-age=0 /usr/local/bin:/usr/bin:/bin <address>Apache/2.4.6 (Ubuntu) Server at localhost Port 80</address>
